Date (Daily +00:00: 01/01/2013 - 12/31/2013),Series,Value
2013-03-20,FOXNEWS,0.1621
2013-03-21,FOXNEWS,0.5836
2013-03-22,FOXNEWS,0.7845
2013-03-23,FOXNEWS,0.302
2013-03-24,FOXNEWS,0.5098
2013-03-25,FOXNEWS,0.3121
2013-03-26,FOXNEWS,0.504
2013-03-27,FOXNEWS,0.716
2013-03-28,FOXNEWS,0.4542
2013-03-29,FOXNEWS,0.3492
2013-03-30,FOXNEWS,0.3786
2013-03-31,FOXNEWS,0.3831
2013-04-01,FOXNEWS,0.2784
2013-04-02,FOXNEWS,0.1441
2013-04-03,FOXNEWS,0.1927
2013-04-04,FOXNEWS,0.2395
2013-04-05,FOXNEWS,0.2376
2013-04-06,FOXNEWS,0.4958
2013-04-07,FOXNEWS,0.3904
2013-04-08,FOXNEWS,0.4564
2013-04-09,FOXNEWS,0.33
2013-04-10,FOXNEWS,0.6769
2013-04-11,FOXNEWS,0.5982
2013-04-12,FOXNEWS,0.3348
2013-04-13,FOXNEWS,0.8469
2013-04-14,FOXNEWS,0.5602
2013-04-15,FOXNEWS,0.2248
2013-04-16,FOXNEWS,0.1369
2013-04-17,FOXNEWS,0.304
2013-04-18,FOXNEWS,0.2535
2013-04-19,FOXNEWS,0.2888
2013-04-20,FOXNEWS,0.1399
2013-04-21,FOXNEWS,0.3491
2013-04-22,FOXNEWS,0.2925
2013-04-23,FOXNEWS,0.6271
2013-04-24,FOXNEWS,1.3301
2013-04-25,FOXNEWS,0.497
2013-04-26,FOXNEWS,0.3893
2013-04-27,FOXNEWS,0.5187
2013-04-28,FOXNEWS,0.5466
2013-04-29,FOXNEWS,0.3241
2013-04-30,FOXNEWS,0.1412
2013-05-01,FOXNEWS,0.0946
2013-05-02,FOXNEWS,0.3311
2013-05-03,FOXNEWS,0.4
2013-05-04,FOXNEWS,0.1711
2013-05-05,FOXNEWS,0.2612
2013-05-06,FOXNEWS,0.1603
2013-05-07,FOXNEWS,0.3548
2013-05-08,FOXNEWS,0.2075
2013-05-09,FOXNEWS,0.4054
2013-05-10,FOXNEWS,0.2859
2013-05-11,FOXNEWS,0.402
2013-05-12,FOXNEWS,0.3621
2013-05-13,FOXNEWS,0.1152
2013-05-14,FOXNEWS,0.1606
2013-05-15,FOXNEWS,0.3008
2013-05-16,FOXNEWS,0.0927
2013-05-17,FOXNEWS,0.2557
2013-05-18,FOXNEWS,0.255
2013-05-19,FOXNEWS,0.3563
2013-05-20,FOXNEWS,0.2953
2013-05-21,FOXNEWS,0.092
2013-05-22,FOXNEWS,0.0942
2013-05-23,FOXNEWS,0.0945
2013-05-24,FOXNEWS,0.1179
2013-05-25,FOXNEWS,0.186
2013-05-26,FOXNEWS,0.1751
