Date (Daily +00:00: 01/01/2014 - 12/31/2014),Series,Value
2014-11-05,CNN,0
2014-11-06,CNN,0.047
2014-11-07,CNN,0.0251
2014-11-08,CNN,0
2014-11-09,CNN,0.0334
2014-11-10,CNN,0
2014-11-11,CNN,0
2014-11-12,CNN,0
2014-11-13,CNN,0
2014-11-14,CNN,0.0255
2014-11-15,CNN,0.0911
2014-11-16,CNN,0
2014-11-17,CNN,0
2014-11-18,CNN,0.0231
2014-11-19,CNN,0.0231
2014-11-20,CNN,0
2014-11-21,CNN,0
2014-11-22,CNN,0
2014-11-23,CNN,0
2014-11-24,CNN,0.1229
2014-11-25,CNN,0
2014-11-26,CNN,0.0256
2014-11-27,CNN,0.0455
2014-11-28,CNN,0
2014-11-29,CNN,0
2014-11-30,CNN,0.0402
2014-12-01,CNN,0.034
2014-12-02,CNN,0.0699
2014-12-03,CNN,0
2014-12-04,CNN,0
2014-12-05,CNN,0
2014-12-06,CNN,0.029
2014-12-07,CNN,0
2014-12-08,CNN,0.0365
2014-12-09,CNN,0.0251
2014-12-10,CNN,0
2014-12-11,CNN,0
2014-12-12,CNN,0
2014-12-13,CNN,0
2014-12-14,CNN,0
2014-12-15,CNN,0
2014-12-16,CNN,0.023
2014-12-17,CNN,0
2014-12-18,CNN,0.0252
2014-12-19,CNN,0
2014-12-20,CNN,0.2549
2014-12-21,CNN,0.6781
2014-12-22,CNN,1.4831
2014-12-23,CNN,0.2877
2014-12-24,CNN,0.1042
2014-12-25,CNN,0.1224
2014-12-26,CNN,0.2317
2014-12-27,CNN,0.2099
2014-12-28,CNN,0
2014-12-29,CNN,0
2014-12-30,CNN,0
2014-12-31,CNN,0.024
2014-01-01,FOXNEWS,0
2014-01-02,FOXNEWS,0
2014-01-03,FOXNEWS,0.049
2014-01-04,FOXNEWS,0.0243
2014-01-05,FOXNEWS,0
2014-01-06,FOXNEWS,0.1252
2014-01-07,FOXNEWS,0.0948
2014-01-08,FOXNEWS,0.0704
2014-01-09,FOXNEWS,0.046
2014-01-10,FOXNEWS,0.0491
2014-01-11,FOXNEWS,0.0705
2014-01-12,FOXNEWS,0
2014-01-13,FOXNEWS,0.0472
2014-01-14,FOXNEWS,0.0472
2014-01-15,FOXNEWS,0
2014-01-16,FOXNEWS,0.0231
2014-01-17,FOXNEWS,0.1189
2014-01-18,FOXNEWS,0
2014-01-19,FOXNEWS,0.0248
2014-01-20,FOXNEWS,0.0713
2014-01-21,FOXNEWS,0.0475
2014-01-22,FOXNEWS,0.1415
2014-01-23,FOXNEWS,0.163
2014-01-24,FOXNEWS,0
2014-01-25,FOXNEWS,0.0231
2014-01-26,FOXNEWS,0.0493
2014-01-27,FOXNEWS,0.1426
2014-01-28,FOXNEWS,0.0712
2014-01-29,FOXNEWS,0
2014-01-30,FOXNEWS,0
2014-01-31,FOXNEWS,0.0477
2014-02-01,FOXNEWS,0.0237
2014-02-02,FOXNEWS,0.1012
2014-02-03,FOXNEWS,0.0484
2014-02-04,FOXNEWS,0.0477
2014-02-05,FOXNEWS,0.0478
2014-02-06,FOXNEWS,0
2014-02-07,FOXNEWS,0.0482
2014-02-08,FOXNEWS,0
2014-02-09,FOXNEWS,0
2014-02-10,FOXNEWS,0
2014-02-11,FOXNEWS,0.047
2014-02-12,FOXNEWS,0.0479
2014-02-13,FOXNEWS,0
2014-02-14,FOXNEWS,0.0473
2014-02-15,FOXNEWS,0
2014-02-16,FOXNEWS,0.1232
2014-02-17,FOXNEWS,0
2014-02-18,FOXNEWS,0.0715
2014-02-19,FOXNEWS,0.0238
2014-02-20,FOXNEWS,0.0709
2014-02-21,FOXNEWS,0.0466
2014-02-22,FOXNEWS,0
2014-02-23,FOXNEWS,0.025
2014-02-24,FOXNEWS,0
2014-02-25,FOXNEWS,0.0236
2014-02-26,FOXNEWS,0
2014-02-27,FOXNEWS,0.094
2014-02-28,FOXNEWS,0
2014-03-01,FOXNEWS,0.0239
2014-03-02,FOXNEWS,0
2014-03-03,FOXNEWS,0.0237
2014-03-04,FOXNEWS,0
2014-03-05,FOXNEWS,0
2014-03-06,FOXNEWS,0.0484
2014-03-07,FOXNEWS,0
2014-03-08,FOXNEWS,0.0469
2014-03-09,FOXNEWS,0
2014-03-10,FOXNEWS,0
2014-03-11,FOXNEWS,0.0239
2014-03-12,FOXNEWS,0.0236
2014-03-13,FOXNEWS,0.0713
2014-03-14,FOXNEWS,0
2014-03-15,FOXNEWS,0.0244
2014-03-16,FOXNEWS,0.1239
2014-03-17,FOXNEWS,0.0237
2014-03-18,FOXNEWS,0
2014-03-19,FOXNEWS,0.0478
2014-03-20,FOXNEWS,0
2014-03-21,FOXNEWS,0
2014-03-22,FOXNEWS,0
2014-03-23,FOXNEWS,0
2014-03-24,FOXNEWS,0
2014-03-25,FOXNEWS,0.0237
2014-03-26,FOXNEWS,0.0942
2014-03-27,FOXNEWS,0.07
2014-03-28,FOXNEWS,0.0235
2014-03-29,FOXNEWS,0.0477
2014-03-30,FOXNEWS,0.2007
2014-03-31,FOXNEWS,0.024
2014-04-01,FOXNEWS,0.0472
2014-04-02,FOXNEWS,0
2014-04-03,FOXNEWS,0.0234
2014-04-04,FOXNEWS,0.0465
2014-04-05,FOXNEWS,0.0977
2014-04-06,FOXNEWS,0.0731
2014-04-07,FOXNEWS,0
2014-04-08,FOXNEWS,0.0232
2014-04-09,FOXNEWS,0
2014-04-10,FOXNEWS,0.0238
2014-04-11,FOXNEWS,0.0455
2014-04-12,FOXNEWS,0
