Date (Daily +00:00: 01/01/2012 - 12/31/2012),Series,Value
2012-01-07,FOXNEWS,0.0939
2012-01-08,FOXNEWS,0.2291
2012-01-09,FOXNEWS,0.0927
2012-01-10,FOXNEWS,0.1412
2012-01-11,FOXNEWS,0.0929
2012-01-12,FOXNEWS,0.2389
2012-01-13,FOXNEWS,0.1186
2012-01-14,FOXNEWS,0.0239
2012-01-15,FOXNEWS,0.2283
2012-01-16,FOXNEWS,0.2316
2012-01-17,FOXNEWS,0.0902
2012-01-18,FOXNEWS,0.0469
2012-01-19,FOXNEWS,0.0957
2012-01-20,FOXNEWS,0.0475
2012-01-21,FOXNEWS,0.0705
2012-01-22,FOXNEWS,0.1166
2012-01-23,FOXNEWS,0.2136
2012-01-24,FOXNEWS,0.1688
2012-01-25,FOXNEWS,0.0911
2012-01-26,FOXNEWS,0.0965
2012-01-27,FOXNEWS,0.169
2012-01-28,FOXNEWS,0.4131
2012-01-29,FOXNEWS,0.5634
2012-01-30,FOXNEWS,0.683
2012-01-31,FOXNEWS,0.3082
2012-02-01,FOXNEWS,0.3987
2012-02-02,FOXNEWS,1.1257
2012-02-03,FOXNEWS,1.0929
2012-02-04,FOXNEWS,0.3118
2012-02-05,FOXNEWS,0.3258
2012-02-06,FOXNEWS,0.6118
2012-02-07,FOXNEWS,0.3888
2012-02-08,FOXNEWS,0.3823
2012-02-09,FOXNEWS,0.2686
2012-02-10,FOXNEWS,0.0964
2012-02-11,FOXNEWS,0.3774
2012-02-12,FOXNEWS,0.5129
2012-02-13,FOXNEWS,0.3119
2012-02-14,FOXNEWS,0.3609
2012-02-15,FOXNEWS,0.1922
2012-02-16,FOXNEWS,0.4798
2012-02-17,FOXNEWS,0.3072
2012-02-18,FOXNEWS,0.303
2012-02-19,FOXNEWS,0.5196
2012-02-20,FOXNEWS,0.1993
2012-02-21,FOXNEWS,0.2694
2012-02-22,FOXNEWS,0.7094
2012-02-23,FOXNEWS,0.1897
2012-02-24,FOXNEWS,0.1675
2012-02-25,FOXNEWS,0.4108
2012-02-26,FOXNEWS,0.2597
2012-02-27,FOXNEWS,0.5134
2012-02-28,FOXNEWS,0.3974
2012-02-29,FOXNEWS,0.047
2012-03-01,FOXNEWS,0.1192
2012-03-02,FOXNEWS,0.07
2012-03-03,FOXNEWS,0.0709
2012-03-04,FOXNEWS,0.068
2012-03-05,FOXNEWS,0.2116
2012-03-06,FOXNEWS,0.3525
2012-03-07,FOXNEWS,0.1628
2012-03-08,FOXNEWS,0.2175
2012-03-09,FOXNEWS,0.7767
2012-03-10,FOXNEWS,0.5421
2012-03-11,FOXNEWS,0.3004
2012-03-12,FOXNEWS,0.5686
2012-03-13,FOXNEWS,0.5667
2012-03-14,FOXNEWS,0.3019
2012-03-15,FOXNEWS,0.1683
2012-03-16,FOXNEWS,0.1646
2012-03-17,FOXNEWS,0.212
2012-03-18,FOXNEWS,0.3239
2012-03-19,FOXNEWS,0.4262
2012-03-20,FOXNEWS,0.1924
2012-03-21,FOXNEWS,0.3329
2012-03-22,FOXNEWS,0.1198
2012-03-23,FOXNEWS,0.4829
2012-03-24,FOXNEWS,0.4432
2012-03-25,FOXNEWS,0.68
2012-03-26,FOXNEWS,0.4463
2012-03-27,FOXNEWS,0.3606
2012-03-28,FOXNEWS,0.269
2012-03-29,FOXNEWS,0.2413
2012-03-30,FOXNEWS,0.0241
2012-03-31,FOXNEWS,0.0705
2012-04-01,FOXNEWS,0.2082
2012-04-02,FOXNEWS,0.2335
2012-04-03,FOXNEWS,0.0698
2012-04-04,FOXNEWS,0.1637
2012-04-05,FOXNEWS,0.6467
2012-04-06,FOXNEWS,0.5758
2012-04-07,FOXNEWS,0.0473
2012-04-08,FOXNEWS,0.7679
2012-04-09,FOXNEWS,0.5778
2012-04-10,FOXNEWS,0.4985
2012-04-11,FOXNEWS,0.2365
2012-04-12,FOXNEWS,0.2854
2012-04-13,FOXNEWS,0.1426
2012-04-14,FOXNEWS,0.4769
2012-04-15,FOXNEWS,0.3332
2012-04-16,FOXNEWS,0.5532
2012-04-17,FOXNEWS,0.4275
2012-04-18,FOXNEWS,0.1904
2012-04-19,FOXNEWS,0.3598
2012-04-20,FOXNEWS,0.671
2012-04-21,FOXNEWS,0.7191
2012-04-22,FOXNEWS,0.4527
2012-04-23,FOXNEWS,0.3135
2012-04-24,FOXNEWS,0.024
2012-04-25,FOXNEWS,0.1434
2012-04-26,FOXNEWS,0.1861
2012-04-27,FOXNEWS,0.1915
2012-04-28,FOXNEWS,0.3581
2012-04-29,FOXNEWS,0.1967
2012-04-30,FOXNEWS,0.2591
2012-05-01,FOXNEWS,0.4836
2012-05-02,FOXNEWS,0.8298
2012-05-03,FOXNEWS,1.0766
2012-05-04,FOXNEWS,0.4318
2012-05-05,FOXNEWS,0.0948
2012-05-06,FOXNEWS,0.7637
2012-05-07,FOXNEWS,0.3318
2012-05-08,FOXNEWS,0.4919
2012-05-09,FOXNEWS,0.5348
2012-05-10,FOXNEWS,0.0962
2012-05-11,FOXNEWS,0.1451
2012-05-12,FOXNEWS,0.6483
2012-05-13,FOXNEWS,0.8582
2012-05-14,FOXNEWS,0.7429
2012-05-15,FOXNEWS,1.096
2012-05-16,FOXNEWS,1.7161
2012-05-17,FOXNEWS,2.1723
2012-05-18,FOXNEWS,3.6027
2012-05-19,FOXNEWS,3.6533
2012-05-20,FOXNEWS,1.8465
2012-05-21,FOXNEWS,1.4364
2012-05-22,FOXNEWS,1.9966
2012-05-23,FOXNEWS,1.9702
2012-05-24,FOXNEWS,1.7603
2012-05-25,FOXNEWS,1.2126
2012-05-26,FOXNEWS,1.2224
2012-05-27,FOXNEWS,1.3356
2012-05-28,FOXNEWS,0.1931
2012-05-29,FOXNEWS,0.464
2012-05-30,FOXNEWS,0.7954
2012-05-31,FOXNEWS,0.4018
2012-06-01,FOXNEWS,0.239
2012-06-02,FOXNEWS,0.2125
2012-06-03,FOXNEWS,0.4032
2012-06-04,FOXNEWS,0.9981
2012-06-05,FOXNEWS,0.6582
2012-06-06,FOXNEWS,0.3855
2012-06-07,FOXNEWS,0.1934
2012-06-08,FOXNEWS,0.2813
2012-06-09,FOXNEWS,0.0712
2012-06-10,FOXNEWS,0.2181
2012-06-11,FOXNEWS,0.2675
2012-06-12,FOXNEWS,0.2951
2012-06-13,FOXNEWS,0.145
2012-06-14,FOXNEWS,0.0969
2012-06-15,FOXNEWS,0.0965
2012-06-16,FOXNEWS,0.1436
2012-06-17,FOXNEWS,0.4056
2012-06-18,FOXNEWS,0.1923
2012-06-19,FOXNEWS,0.1675
2012-06-20,FOXNEWS,0.1445
2012-06-21,FOXNEWS,0.0965
2012-06-22,FOXNEWS,0.192
2012-06-23,FOXNEWS,0.3025
2012-06-24,FOXNEWS,0.7563
2012-06-25,FOXNEWS,0.2861
2012-06-26,FOXNEWS,0.3142
2012-06-27,FOXNEWS,0.1422
2012-06-28,FOXNEWS,0.1356
2012-06-29,FOXNEWS,0.0235
2012-06-30,FOXNEWS,0.4926
2012-07-01,FOXNEWS,0.0954
2012-07-02,FOXNEWS,0.2388
2012-07-03,FOXNEWS,0.1184
2012-07-04,FOXNEWS,0.4305
2012-07-05,FOXNEWS,0.1755
2012-07-06,FOXNEWS,0.0478
